G, JAN,  FEB,  MAR,  APR,  MAY,  JUN,  JUL,  AUG, SEP,  OCT,  NOV,  DEC
17,  .,65.8,103.2,   .,   .,   .,   .,   .,  .,   .,   .,72.1
18,  .,2,3,   .,   .,   .,   .,   .,  .,   .,   .,   .
19,  .,   .,1,   .,   .,7.2,   .,   .,38.4,   .,   .,   .
20,  .,   .,   .,   .,   .,31.8,2.3,   .,23.5,28.4,   .,   .
21,  .,   .,   .,   .,   .,   .,14.2,   .,  .,22.9,   .,   .
22,  .,   .,   .,   .,   .,   .,27.3,   .,  .,   .,   .,   .
23,  .,   .,   .,   .,   .,   .,70.1,   .,  .,   .,   .,   .
24,  .,   .,   .,   .,   .,   .,25.4,   .,  .,   .,   .,   .
25,  .,   .,   .,   .,   .,   .,10,   .,  .,0,   .,   .
26,  .,   .,   .,13.2,   .,   .,   .,   .,  .,29.8,   .,   .
27,  .,   .,   .,0.1,   .,   .,   .,   .,  .,71.2,   .,   .
28,  .,   .,4,   .,34.9,   .,9.8,   .,  .,   .,   .,   .
29,  .,,24.8,   .,   .,   .,3,   .,  .,   .,   .,   .
30,  .,,   .,   .,   .,   .,   .,   .,  .,   .,   .,8
31,  .,,   .,,   .,,11.2,   .,,   .,,   .
2012,,,,,,,,,,,,
1,  .,   .,   .,   .,   .,   .,   .,   .,65.8,   .,80,   .
2,  .,   .,   .,   .,   .,   .,   .,   .,11.4,7.8,17.1,   .
3,80.5,   .,   .,   .,   .,   .,   .,   .,  .,6.5,   .,4.8
4,14.2,   .,   .,6.2,   .,   .,   .,   .,  .,   .,   .,   .
5,2,   .,   .,12.3,   .,4.8,   .,   .,  .,   .,138.1,71.8
6,  .,   .,   .,20.4,3,   .,   .,   .,  .,   .,14.3,   .
7,  .,   .,   .,6.2,48.2,   .,   .,   .,  .,   .,9.6,   .
8,  .,   .,   .,12.5,8.4,   .,   .,   .,  .,8.9,   .,22.1
9,  .,   .,   .,   .,   .,   .,   .,   .,  .,   .,   .,   .
10,  .,   .,   .,   .,   .,16.1,   .,   .,  .,   .,   .,   .
11,  .,   .,   .,   .,   .,5,   .,   .,  .,5,   .,   .
12,  .,0,   .,44.8,   .,20.5,   .,   .,  .,6.2,96,   .
13,  .,   .,   .,   .,14.6,27.3,   .,   .,78.1,1,6,   .
14,  .,   .,   .,   .,2,5,   .,   .,  .,   .,   .,   .
15,  .,   .,   .,8.1,   .,   .,   .,   .,  .,41.6,   .,53.2
16,  .,   .,   .,   .,   .,   .,   .,   .,  .,38.3,   .,73.2
17,  .,   .,   .,   .,18.7,   .,   .,3.2,  .,   .,   .,   .
18,  .,   .,   .,   .,   .,   .,   .,   .,  .,   .,   .,   .
19,  .,   .,5.2,19.3,   .,   .,   .,   .,  .,   .,30,   .
20,  .,14.2,   .,20.5,   .,   .,   .,0.1,5.2,   .,   .,   .
21,6.4,   .,   .,6.8,   .,   .,   .,   .,  .,   .,   .,   .
22,  .,   .,   .,4.2,19.3,   .,   .,   .,  .,   .,   .,   .
23,  .,   .,   .,8.1,12.6,   .,   .,   .,  .,   .,   .,   .
24,  .,   .,   .,9.1,2,   .,   .,   .,  .,   .,   .,   .
25,  .,   .,   .,18.2,   .,   .,1.8,   .,24.2,   .,   .,   .
26,  .,   .,   .,   .,   .,   .,   .,   .,  .,   .,   .,   .
27,  .,   .,   .,   .,   .,   .,   .,34.6,  .,180.1,   .,23.2
28,  .,   .,   .,   .,   .,   .,   .,   .,11.5,98.2,16.8,   .
29,  .,   .,   .,   .,3.7,   .,   .,   .,8.1,28.4,21.4,   .
30,  .,,   .,   .,4.2,   .,   .,   .,  .,   .,20,   .
31,  .,,   .,,   .,,   .,   .,,   .,,   .
2013,,,,,,,,,,,,
1,  .,   .,   .,   .,   .,26.4,   .,   .,  .,Ponis,   .,   .
2,  .,23.4,   .,   .,   .,   .,   .,   .,  .,   .,5,   .
3,5,74.2,   .,3.4,8.3,   .,   .,   .,  .,   .,   .,   .
4,  .,   .,   .,   .,   .,   .,   .,   .,  .,   .,9.7,   .
5,  .,   .,   .,   .,   .,4.3,   .,   .,  .,   .,26.3,   .
6,  .,27.2,21.4,22.3,5.9,9.7,   .,   .,  .,Ponis,18.4,   .
7,  .,4.3,145.4,   .,25.8,   .,   .,   .,  .,   .,   .,   .
8,  .,   .,26.3,   .,   .,5.3,4.8,   .,  .,Ponis,   .,   .
9,  .,   .,38.1,9.5,   .,   .,   .,   .,9.7,   .,   .,   .
10,  .,   .,22.7,28.6,   .,6.4,   .,   .,87.4,   .,79.2,   .
11,  .,   .,   .,   .,28.6,   .,9.7,   .,35.8,   .,44.6,   .
12,  .,86.3,3.2,3,23.4,   .,29.7,   .,17.2,Ponis,   .,   .
13,9.6,   .,6.3,7.9,   .,   .,   .,   .,  .,Ponis,   .,   .
14,23.7,   .,21.5,   .,   .,   .,   .,   .,  .,   .,   .,   .
15,2,   .,1.3,   .,   .,   .,   .,   .,  .,   .,   .,   .
16,22.2,   .,   .,   .,   .,   .,9.3,   .,8.1,   .,   .,   .
17,25.2,   .,   .,   .,25.3,   .,   .,   .,  .,   .,   .,   .
18,  .,   .,68.2,   .,33.1,   .,   .,   .,19.3,   .,   .,   .
19,  .,   .,74.3,   .,   .,   .,   .,   .,  .,   .,5,   .
20,32.1,   .,   .,   .,4.2,   .,10.2,   .,  .,Ponis,25.4,   .
21,81.3,1.3,8.2,   .,   .,   .,   .,   .,  .,   .,15.8,0.6
22,22.7,18.2,   .,   .,   .,   .,   .,   .,  .,Ponis,12.9,5.2
23,8.1,25.4,   .,6.5,   .,   .,   .,   .,  .,   .,3,   .
24,5,20,2,   .,   .,   .,   .,4.2,  .,   .,5,   .
25,  .,1,5.4,   .,27.9,3.4,   .,26.3,  .,   .,   .,2.3
26,  .,   .,1.5,   .,35.4,7.8,   .,35.7,  .,   .,   .,24.3
27,  .,   .,   .,   .,3,5.4,   .,5,  .,   .,   .,65.1
28,  .,   .,   .,28.3,10,   .,   .,   .,  .,   .,   .,0.2
29,11.8,,28.5,   .,9.3,   .,   .,   .,10.4,   .,   .,5.1
30,  .,,24.3,   .,6.7,   .,16.3,   .,94.5,   .,   .,62.2
31,  .,,65.2,,9.5,,   .,   .,,   .,,   .
2014,,,,,,,,,,,,
1,  .,72.2,21.5,   .,   .,   .,7.4,5.1,29.3,   .,   .,15.2
2,  .,58.7,8.1,   .,   .,   .,   .,   .,28.3,   .,   .,27.5
3,9.4,62.3,   .,   .,6.3,   .,10,   .,18.1,   .,   .,1.7
4,18.2,5.2,   .,   .,8.4,   .,   .,3.4,7.2,   .,   .,18.3
5,36.3,12.3,   .,4.8,   .,   .,   .,   .,8.4,   .,   .,8.6
6,25.2,   .,   .,   .,   .,   .,   .,   .,  .,   .,14.2,2.7
7,  .,   .,   .,   .,   .,   .,   .,   .,  .,   .,35.3,0.5
8,  .,72.3,   .,   .,6.1,   .,9.2,   .,  .,6.2,126.4,   .
9,  .,21.7,   .,17.6,   .,   .,15.4,   .,  .,   .,   .,   .
10,  .,25.7,   .,   .,   .,   .,12.8,   .,10.8,   .,   .,   .
11,11.7,22.1,   .,   .,   .,   .,   .,   .,23.6,   .,37.6,   .
12,  .,83.1,   .,   .,6.2,   .,   .,   .,13.7,   .,13.2,   .
13,  .,   .,   .,   .,9.3,3.2,6.3,   .,18.6,   .,15.3,   .
14,17.4,38.1,   .,   .,12.1,   .,9.6,15.8,  .,9.4,   .,   .
15,35.2,   .,   .,12.5,   .,   .,10.6,10.6,  .,43.5,   .,   .
16,  .,   .,   .,   .,   .,   .,   .,7.2,  .,38.7,15.9,3
17,5.1,8,   .,   .,   .,   .,   .,   .,  .,8.6,16.8,27.2
18,10.7,9.3,   .,   .,5.2,   .,5.4,   .,  .,   .,38.7,   .
19,13.2,18.7,   .,   .,8.3,   .,   .,   .,  .,   .,36.4,   .
20,83.7,9.3,   .,9.4,   .,   .,   .,10.3,16.2,   .,   .,   .
21,14.3,   .,   .,5.3,   .,6.3,   .,43.8,10,   .,   .,   .
22,  .,   .,8.1,23.7,   .,   .,7.9,   .,13.1,10.8,   .,   .
23,  .,12.3,21.7,   .,   .,   .,   .,3,15,7.9,   .,   .
24,13.4,   .,22.4,   .,   .,   .,   .,9.7,  .,11.6,   .,   .
25,2,   .,   .,5.2,   .,12.7,   .,   .,  .,   .,   .,   .
26,  .,   .,   .,   .,   .,22.8,   .,   .,  .,   .,   .,1
27,  .,4,   .,   .,7.2,   .,34.6,5.1,  .,   .,   .,   .
28,  .,   .,   .,18.3,18.4,   .,17.7,7.5,  .,   .,3.5,31.2
29,  .,,   .,10,29.3,   .,9.1,   .,  .,   .,148.7,   .
30,9.2,,   .,2,8.5,34.7,22.3,   .,  .,   .,13.6,   .
31,25.1,,   .,,1,,18.5,   .,,   .,,   .
2015,,,,,,,,,,,,
1,  .,   .,   .,   .,   .,   .,   .,   .,  .,   .,   .,   .
2,  .,0,1.3,   .,32.3,   .,   .,4.3,  .,   .,   .,   .
3,  .,   .,27.4,   .,   .,   .,   .,   .,  .,15.2,   .,   .
4,  .,7.2,   .,   .,   .,   .,   .,   .,9.8,12.4,   .,   .
5,  .,3,18.2,9.4,   .,   .,   .,   .,9.7,29.9,   .,   .
6,  .,3.3,   .,   .,   .,   .,   .,   .,9.3,   .,   .,   .
7,  .,   .,   .,   .,   .,   .,   .,   .,  .,43.9,   .,   .
8,  .,   .,   .,   .,   .,   .,   .,   .,  .,2.7,   .,   .
