G, JAN,  FEB,  MAR,  APR,  MAY,  JUN,  JUL,  AUG, SEP,  OCT,  NOV,  DEC
3,36.9,    .,   .,   .,   .,0.6,   .,   .,  .,3.7,0.1,4.1
4,11.2,0,   .,2.4,   .,    .,   .,   .,2.7,   .,0,   .
5,0.3,0,   .,2.3,   .,7,   .,   .,0,   .,36,75.6
6,0.6,    .,   .,12.2,0.2,0,   .,   .,  .,   .,12.9,   .
7,        .,0,   .,4.5,55.3,    .,   .,   .,  .,   .,1.9,   .
8,        .,0,   .,11.2,6,    .,   .,   .,  .,4.9,   .,28.4
9,        .,    .,   .,0.1,0,1.9,   .,   .,  .,   .,   .,0.1
10,        .,    .,   .,   .,   .,1,   .,   .,  .,0.5,   .,   .
11,        .,0,   .,3.2,   .,13.3,0,   .,  .,13.3,   .,0
12,        .,0,   .,29.9,   .,11.3,   .,1.9,  .,1.1,47.3,   .
13,0,0,   .,0,15.2,35.4,   .,0.2,20.2,0.6,4.9,   .
14,0,    .,   .,1.7,4,1,   .,   .,2.9,6.9,   .,4.9
15,        .,    .,   .,0.2,   .,    .,0.3,   .,0.1,43,   .,14.5
16,        .,    .,   .,6.2,   .,    .,   .,   .,  .,54.8,   .,32.2
17,        .,    .,   .,1.2,14.3,    .,   .,0,  .,   .,   .,   .
18,        .,    .,   .,   .,   .,    .,   .,   .,  .,   .,0.2,0.2
19,        .,0,0.2,7,   .,    .,   .,   .,  .,   .,12.5,   .
20,0,19.4,0,4.4,   .,    .,   .,0.1,48.9,   .,   .,   .
21,2.2,0,   .,2.3,2.9,    .,   .,   .,  .,   .,   .,0.1
22,        .,    .,   .,1.2,8.1,    .,0,   .,  .,   .,   .,   .
23,0.8,    .,   .,6.3,13,    .,   .,   .,  .,   .,0.1,   .
24,1.5,    .,   .,   .,3.4,    .,   .,   .,0.2,   .,   .,   .
25,0.6,    .,   .,10.2,0.6,    .,1.1,   .,15.1,   .,   .,0.1
26,        .,    .,0.5,0,   .,2,0.6,   .,0.1,   .,   .,2.3
27,        .,2.6,   .,   .,   .,    .,0,43.1,  .,158.7,   .,20.5
28,        .,    .,   .,   .,0,    .,   .,   .,13.1,51.7,5.5,5.8
29,        .,    .,   .,   .,2.3,    .,   .,   .,1.9,4.2,27.4,   .
30,        .,,   .,   .,2.5,    .,   .,   .,0,   .,23.1,   .
31,        .,,   .,,   .,,   .,   .,,1,,   .
2013,,,,,,,,,,,,
1,        .,0,   .,17.8,   .,30.6,   .,   .,  .,11.6,   .,2.2
2,        .,37.2,   .,3.5,   .,1.2,   .,   .,  .,   .,1.1,   .
3,1.8,11.4,   .,2.3,1.9,0.1,   .,   .,0,   .,8.5,   .
4,        .,    .,   .,   .,   .,    .,   .,   .,  .,   .,2.1,   .
5,        .,    .,   .,0.4,   .,0.1,   .,   .,  .,   .,32.8,   .
6,        .,24.1,7.6,9.2,2.6,9.3,   .,   .,  .,4.1,2.6,   .
7,        .,2,105.3,0.3,18.8,    .,0.3,   .,  .,4,   .,   .
8,        .,    .,34.1,   .,   .,    .,3.7,   .,  .,6.1,0.3,   .
9,        .,    .,16.7,9,0,0.1,   .,   .,6.2,6.8,0,   .
10,0.3,0,34.9,14.3,   .,2.6,   .,0.5,11.7,   .,15.4,   .
11,0,    .,1.1,   .,19.7,    .,6.2,   .,51.5,39.7,63.4,   .
12,0,86.8,7.1,2.1,39,0.5,52,   .,25.7,6.9,0.2,   .
13,3,    .,6.3,2,0.6,    .,   .,   .,  .,5.7,   .,   .
14,19.6,    .,2.2,0.2,   .,    .,0,   .,  .,   .,   .,   .
15,13.5,    .,0,   .,   .,    .,   .,0.4,  .,0.3,1.3,   .
16,2.3,    .,   .,   .,   .,    .,5.5,   .,13.7,2,1.5,   .
17,5.5,    .,   .,   .,17.2,    .,   .,   .,7.9,   .,   .,   .
18,0,    .,25.6,   .,43.8,    .,   .,   .,35.2,   .,   .,   .
